Email;Id;First_name;Last_name;age;city
harsh@example.com;2070;Harsh;Gupta;21;Delhi
bhavya@example.com;4081;Bhavya;Datta;24;Mumbai
abhi@example.com;9346;Abhimanyu;Nair;25;Bangalore
parv@example.com;5079;Parv;Sharma;31;Chandigarh
rahul@example.com;1023;Rahul;Verma;22;Lucknow
sneha@example.com;3564;Sneha;Iyer;26;Chennai
ankit@example.com;7842;Ankit;Mishra;28;Pune
ridhima@example.com;6289;Ridhima;Malhotra;23;Jaipur
vishal@example.com;9754;Vishal;Singh;29;Kolkata
shreya@example.com;3412;Shreya;Bhatnagar;24;Hyderabad
ayush@example.com;5731;Ayush;Tripathi;27;Ahmedabad
priya@example.com;2849;Priya;Menon;25;Bhopal
rohit@example.com;6293;Rohit;Chopra;30;Indore
kavya@example.com;8765;Kavya;Kulkarni;22;Surat
dev@example.com;1098;Dev;Rastogi;26;Gurgaon
